# learning_proof.py - per-tensor weight-delta forensic listing
# generated: 2026-09-24T08:25:03+00:00
# comparison: checkpoint-200_vs_checkpoint-1869 (steps 200 -> 1869)
# scheme: SHA16 = first 16 hex of sha256(key|dtype|shape|raw_bytes); RELCHG = ||delta||_F / ||earliest_weights||_F; eps thresholds are relative to the EARLIEST tensor std
# global: mean_abs=0.0142416 std_abs=0.0220793 max_abs=0.990325 frac_tensors_changed=1 frac_params_nz=0.999993 rel_l2=1.04187

# DELTA rows: KEY SHAPE NUMEL ABSMEAN ABSMED ABSSTD ABSMAX FRAC_NZ FRAC_GT_1E-6STD FRAC_GT_1E-4STD FRAC_GT_1E-3STD FRAC_GT_1E-2STD RELCHG L2_DELTA L2_W_EARLY NAN INF SHA16_EARLY SHA16_LATE
DELTA	KEY	SHAPE	NUMEL	ABSMEAN	ABSMED	ABSSTD	ABSMAX	FRAC_NZ	GT1E-6STD	GT1E-4STD	GT1E-3STD	GT1E-2STD	RELCHG	L2_DELTA	L2_W_EARLY	NAN	INF	SHA16_EARLY	SHA16_LATE
DELTA	model.layers.8.mlp.gate_proj.weight	[3072,768]	2359296	0.0127098	0.00462754	0.0204147	0.402464	1	0.999994	0.999542	0.99548	0.955193	1.13114	36.9375	32.6551	0	0	c73de4bfa7c5bbd2	980befa748356311
DELTA	model.layers.8.mlp.up_proj.weight	[3072,768]	2359296	0.0128928	0.00532582	0.0205936	0.405151	1	0.999997	0.999652	0.996427	0.965017	1.14621	37.3195	32.5589	0	0	7778e9818f890699	17e83abf5f3dd5bb
DELTA	model.layers.8.post_attention_layernorm.weight	[768]	768	0.0627898	0.0522668	0.048715	0.335195	1	1	1	1	0.998698	0.0795355	2.20184	27.6837	0	0	27f6d392fe83c558	8a92910379416e93
DELTA	model.layers.8.self_attn.k_proj.bias	[256]	256	0.0803319	0.0663745	0.0620317	0.325499	1	1	1	1	1	16.0369	1.62273	0.101187	0	0	e1deee1151cc2f4d	0756ce360b2da0fa
DELTA	model.layers.8.self_attn.k_proj.weight	[256,768]	196608	0.0476345	0.0383208	0.0388353	0.343944	1	1	0.999975	0.99973	0.996953	2.92657	27.2513	9.31169	0	0	5e282886a6b978d9	fc52c975f6a531ee
DELTA	model.layers.8.self_attn.o_proj.weight	[768,768]	589824	0.0164417	0.00817146	0.0234782	0.517662	1	0.999995	0.999815	0.998054	0.981159	1.36654	22.013	16.1085	0	0	f43f6a7c7f161b12	c0c27f35db7f8356
DELTA	model.layers.8.self_attn.q_proj.bias	[768]	768	0.0588261	0.0494554	0.045907	0.274833	1	1	1	1	1	12.1712	2.06739	0.169859	0	0	04bb11a66df20bc3	c82ed96aa84e2b5c
DELTA	model.layers.8.self_attn.q_proj.weight	[768,768]	589824	0.0509485	0.0425505	0.0393481	0.326189	1	1	0.999978	0.999729	0.99736	3.05109	49.4393	16.2038	0	0	c7b716e3165be776	d32e5794df0d2b97
DELTA	model.layers.8.self_attn.v_proj.bias	[256]	256	0.00755116	0.00473531	0.00860399	0.0527845	1	1	1	1	0.992188	1.72864	0.18296	0.105841	0	0	c620fc646f0a33be	f9a93d39889d64d6
DELTA	model.layers.8.self_attn.v_proj.weight	[256,768]	196608	0.014959	0.00704446	0.0229324	0.399464	1	1	0.999756	0.998011	0.979497	1.31342	12.1404	9.24335	0	0	91cf08a9f8de1af5	5195d3655b47e4d5
DELTA	model.layers.9.input_layernorm.weight	[768]	768	0.0391562	0.032848	0.0304474	0.182842	1	1	1	1	0.998698	0.0497948	1.37425	27.5982	0	0	4d0f1d9589902dc7	b45748d80b911d03
DELTA	model.layers.9.mlp.down_proj.weight	[768,3072]	2359296	0.0189097	0.00947228	0.0253771	0.724196	1	0.999997	0.999792	0.997794	0.977721	1.46172	48.6108	33.2559	0	0	33209d664bd6dff8	1449dff5afde7ad2
DELTA	model.layers.9.mlp.gate_proj.weight	[3072,768]	2359296	0.0168902	0.00652414	0.0251088	0.42386	1	0.999997	0.999646	0.99634	0.963748	1.41846	46.481	32.7686	0	0	dceb3b973ffc7e15	b326a20cf5475b83
DELTA	model.layers.9.mlp.up_proj.weight	[3072,768]	2359296	0.0166986	0.00749158	0.0243406	0.428961	1	0.999997	0.999716	0.997341	0.973233	1.38925	45.3396	32.636	0	0	0786506dbbda9c6e	75c3fa85ce94f539
DELTA	model.layers.9.post_attention_layernorm.weight	[768]	768	0.0700837	0.0629843	0.0494354	0.290522	1	1	1	1	0.998698	0.0857537	2.37627	27.7104	0	0	48e273a87a8c616f	7d37da2d24562001
DELTA	model.layers.9.self_attn.k_proj.bias	[256]	256	0.0612571	0.048077	0.0491921	0.23696	1	1	1	1	1	11.0517	1.25606	0.113653	0	0	ed7e6f9bba4cfbcd	e3a0019ecc027b30
DELTA	model.layers.9.self_attn.k_proj.weight	[256,768]	196608	0.0420224	0.0333225	0.0350588	0.345166	1	1	0.999954	0.999578	0.996409	2.58454	24.266	9.3889	0	0	3e9abbb4f88ea294	34afa5f80bf2f88f
DELTA	model.layers.9.self_attn.o_proj.weight	[768,768]	589824	0.0123387	0.00711092	0.0187716	0.582049	1	0.999997	0.99981	0.998108	0.980954	1.06726	17.2521	16.1649	0	0	2a47c75c447ed631	0adafc9f0376d516
DELTA	model.layers.9.self_attn.q_proj.bias	[768]	768	0.0459651	0.0331902	0.0414848	0.218135	1	1	1	1	0.998698	8.61072	1.71541	0.199218	0	0	3d13847fdb017cbd	398bc4b997fc8d55
DELTA	model.layers.9.self_attn.q_proj.weight	[768,768]	589824	0.0465979	0.0380311	0.0371528	0.344304	1	1	0.999969	0.99969	0.996919	2.80925	45.7698	16.2925	0	0	5f352f10cb6fa918	830a9721771d6c18
DELTA	model.layers.9.self_attn.v_proj.bias	[256]	256	0.00523608	0.00355339	0.00505869	0.0282404	1	1	1	0.996094	0.980469	1.05636	0.116379	0.11017	0	0	e34a215a16a4e04f	2deb3ec37bb2be0a
DELTA	model.layers.9.self_attn.v_proj.weight	[256,768]	196608	0.0123166	0.00711459	0.0163741	0.305373	1	1	0.999868	0.998133	0.981674	0.979262	9.08502	9.27741	0	0	89ff5599c9017cad	70cb6e8549229d44
DELTA	model.norm.weight	[768]	768	0.171783	0.172408	0.0560786	0.40283	1	1	1	1	1	0.191014	5.00752	26.2155	0	0	50f9f44dbb431d35	7a00e2430d25c496

# OPTIMIZER PROXY rows (checkpoint-1869 AdamW state, no raw gradients):
OPT	KEY	COMPONENT	EXP_AVG_ABS_MEAN	EXP_AVG_SQ_ABS_MEAN	EFF_UPDATE_MEAN	EFF_UPDATE_MAX	EXP_AVG_ZERO_FRAC	STEP	STARVED
OPT	lm_head.weight	lm_head	1.79087e-05	1.77467e-07	0.0811157	5.72138	0	1869	
OPT	model.embed_tokens.weight	embed	2.10834e-05	3.43135e-07	0.0478985	3.43358	0.0663086	1869	
OPT	model.layers.0.input_layernorm.weight	layer_norms	0.000697726	7.73374e-06	0.260575	1.00216	0	1869	
OPT	model.layers.0.mlp.down_proj.weight	mlp_down	6.88104e-06	1.22595e-08	0.105276	4.4506	0	1869	
OPT	model.layers.0.mlp.gate_proj.weight	mlp_gate	3.02759e-06	2.53775e-09	0.0918302	2.93597	0	1869	
OPT	model.layers.0.mlp.up_proj.weight	mlp_up	2.8228e-06	2.45131e-09	0.0857006	3.02383	0	1869	
OPT	model.layers.0.post_attention_layernorm.weight	layer_norms	6.32857e-05	1.66405e-07	0.172869	0.758817	0	1869	
OPT	model.layers.0.self_attn.k_proj.bias	attn_qkv	5.79595e-05	1.20405e-07	0.180811	1.1013	0	1869	
OPT	model.layers.0.self_attn.k_proj.weight	attn_qkv	0.000120416	2.53401e-07	0.25207	1.81652	0	1869	
OPT	model.layers.0.self_attn.o_proj.weight	attn_o	1.70673e-05	2.29286e-08	0.129961	1.22819	0	1869	
OPT	model.layers.0.self_attn.q_proj.bias	attn_qkv	0.000174674	5.28702e-07	0.255764	1.20252	0	1869	
OPT	model.layers.0.self_attn.q_proj.weight	attn_qkv	0.00013025	4.91277e-07	0.212309	2.32306	0	1869	
OPT	model.layers.0.self_attn.v_proj.bias	attn_qkv	3.11316e-05	1.27633e-06	0.0377739	0.279102	0	1869	
OPT	model.layers.0.self_attn.v_proj.weight	attn_qkv	2.59891e-05	6.00928e-08	0.124512	1.02106	0	1869	
OPT	model.layers.1.input_layernorm.weight	layer_norms	1.09221e-05	1.06599e-08	0.172113	1.0122	0	1869	
OPT	model.layers.1.mlp.down_proj.weight	mlp_down	6.0713e-07	7.57364e-10	0.0340782	2.79944	0	1869	
OPT	model.layers.1.mlp.gate_proj.weight	mlp_gate	2.24035e-07	4.03714e-10	0.0229547	2.2187	0	1869	
OPT	model.layers.1.mlp.up_proj.weight	mlp_up	2.19133e-07	4.07739e-10	0.023151	2.00464	0	1869	
OPT	model.layers.1.post_attention_layernorm.weight	layer_norms	6.20384e-06	6.79524e-09	0.11033	0.471308	0	1869	
OPT	model.layers.1.self_attn.k_proj.bias	attn_qkv	2.37741e-06	3.17028e-10	0.198804	1.24461	0	1869	
OPT	model.layers.1.self_attn.k_proj.weight	attn_qkv	3.11617e-06	4.96362e-10	0.22921	2.25049	0	1869	
OPT	model.layers.1.self_attn.o_proj.weight	attn_o	2.07057e-06	6.00835e-09	0.0555772	1.5913	0	1869	
OPT	model.layers.1.self_attn.q_proj.bias	attn_qkv	3.57482e-06	5.24838e-10	0.213612	1.4968	0	1869	
OPT	model.layers.1.self_attn.q_proj.weight	attn_qkv	2.52921e-06	5.57352e-10	0.213554	2.4794	0	1869	
OPT	model.layers.1.self_attn.v_proj.bias	attn_qkv	1.76369e-06	3.99195e-08	0.0146158	0.110207	0	1869	
OPT	model.layers.1.self_attn.v_proj.weight	attn_qkv	1.18188e-06	1.60887e-08	0.0205504	0.673038	0	1869	
OPT	model.layers.10.input_layernorm.weight	layer_norms	7.99924e-06	7.9439e-09	0.234043	1.74679	0	1869	
OPT	model.layers.10.mlp.down_proj.weight	mlp_down	3.67125e-06	1.87582e-09	0.140853	6.79604	0	1869	
OPT	model.layers.10.mlp.gate_proj.weight	mlp_gate	1.88942e-06	7.01836e-10	0.125912	6.45256	0	1869	
OPT	model.layers.10.mlp.up_proj.weight	mlp_up	1.8282e-06	8.88066e-10	0.125617	6.42201	0	1869	
OPT	model.layers.10.post_attention_layernorm.weight	layer_norms	0.000104647	7.3153e-07	0.278125	2.09561	0	1869	
OPT	model.layers.10.self_attn.k_proj.bias	attn_qkv	1.16472e-06	3.34276e-11	0.264779	0.938924	0	1869	
OPT	model.layers.10.self_attn.k_proj.weight	attn_qkv	9.84605e-07	3.79026e-11	0.239168	2.42538	0	1869	
OPT	model.layers.10.self_attn.o_proj.weight	attn_o	1.73333e-06	4.22756e-10	0.111598	2.17344	0	1869	
OPT	model.layers.10.self_attn.q_proj.bias	attn_qkv	1.48035e-06	4.95433e-11	0.231443	1.49864	0	1869	
OPT	model.layers.10.self_attn.q_proj.weight	attn_qkv	8.04297e-07	4.58588e-11	0.220412	3.36144	0	1869	
OPT	model.layers.10.self_attn.v_proj.bias	attn_qkv	6.5725e-06	2.18662e-09	0.157364	0.56221	0	1869	
OPT	model.layers.10.self_attn.v_proj.weight	attn_qkv	2.30986e-06	1.76266e-09	0.0803978	1.549	0	1869	
OPT	model.layers.2.input_layernorm.weight	layer_norms	2.55493e-05	4.51974e-08	0.207358	0.943871	0	1869	
OPT	model.layers.2.mlp.down_proj.weight	mlp_down	6.23682e-07	3.96928e-10	0.0467285	5.14739	0	1869	
OPT	model.layers.2.mlp.gate_proj.weight	mlp_gate	2.53193e-07	2.21183e-10	0.0339082	3.09752	0	1869	
OPT	model.layers.2.mlp.up_proj.weight	mlp_up	2.51665e-07	2.19697e-10	0.0342778	3.51419	0	1869	
OPT	model.layers.2.post_attention_layernorm.weight	layer_norms	6.49969e-06	8.50647e-09	0.161881	0.935338	0	1869	
OPT	model.layers.2.self_attn.k_proj.bias	attn_qkv	3.64423e-06	1.77344e-09	0.14278	1.1476	0	1869	
OPT	model.layers.2.self_attn.k_proj.weight	attn_qkv	5.0388e-06	2.38527e-09	0.205827	1.67813	0	1869	
OPT	model.layers.2.self_attn.o_proj.weight	attn_o	2.2022e-06	3.14529e-09	0.0709395	1.60305	0	1869	
OPT	model.layers.2.self_attn.q_proj.bias	attn_qkv	5.67008e-06	1.89038e-09	0.221531	1.14053	0	1869	
OPT	model.layers.2.self_attn.q_proj.weight	attn_qkv	3.65731e-06	1.94228e-09	0.202756	2.63161	0	1869	
OPT	model.layers.2.self_attn.v_proj.bias	attn_qkv	2.41006e-06	1.68711e-08	0.029562	0.298133	0	1869	
OPT	model.layers.2.self_attn.v_proj.weight	attn_qkv	1.45916e-06	9.00481e-09	0.0318621	1.08256	0	1869	
OPT	model.layers.3.input_layernorm.weight	layer_norms	2.35944e-05	1.6533e-08	0.429526	1.82333	0	1869	
OPT	model.layers.3.mlp.down_proj.weight	mlp_down	4.53172e-07	2.83063e-10	0.0408614	4.64135	0	1869	
OPT	model.layers.3.mlp.gate_proj.weight	mlp_gate	1.95085e-07	1.48209e-10	0.0293187	2.80159	0	1869	
OPT	model.layers.3.mlp.up_proj.weight	mlp_up	2.12206e-07	1.55128e-10	0.0309119	2.72711	0	1869	
OPT	model.layers.3.post_attention_layernorm.weight	layer_norms	7.39694e-06	6.06367e-09	0.219516	1.09474	0	1869	
OPT	model.layers.3.self_attn.k_proj.bias	attn_qkv	5.76638e-06	3.65151e-10	0.395253	1.78284	0	1869	
OPT	model.layers.3.self_attn.k_proj.weight	attn_qkv	7.12889e-06	5.85372e-10	0.461467	2.92338	0	1869	
OPT	model.layers.3.self_attn.o_proj.weight	attn_o	2.213e-06	2.01852e-09	0.0785782	1.79501	0	1869	
OPT	model.layers.3.self_attn.q_proj.bias	attn_qkv	7.86478e-06	4.52846e-10	0.420845	2.30313	0	1869	
OPT	model.layers.3.self_attn.q_proj.weight	attn_qkv	4.60258e-06	4.96767e-10	0.35463	2.86096	0	1869	
OPT	model.layers.3.self_attn.v_proj.bias	attn_qkv	3.21717e-06	1.07159e-08	0.0450076	0.43131	0	1869	
OPT	model.layers.3.self_attn.v_proj.weight	attn_qkv	1.51744e-06	6.6002e-09	0.0355644	0.919312	0	1869	
OPT	model.layers.4.input_layernorm.weight	layer_norms	7.90717e-06	3.8803e-09	0.295569	1.75182	0	1869	
OPT	model.layers.4.mlp.down_proj.weight	mlp_down	5.56254e-07	2.27014e-10	0.0529066	4.52534	0	1869	
OPT	model.layers.4.mlp.gate_proj.weight	mlp_gate	2.2305e-07	1.17242e-10	0.0352332	2.57875	0	1869	
OPT	model.layers.4.mlp.up_proj.weight	mlp_up	2.49108e-07	1.33136e-10	0.0373147	2.62854	0	1869	
OPT	model.layers.4.post_attention_layernorm.weight	layer_norms	8.34249e-06	9.24592e-09	0.210203	1.14322	0	1869	
OPT	model.layers.4.self_attn.k_proj.bias	attn_qkv	1.6967e-06	6.33561e-11	0.277337	1.47812	0	1869	
OPT	model.layers.4.self_attn.k_proj.weight	attn_qkv	1.7368e-06	7.50023e-11	0.314807	2.53107	0	1869	
OPT	model.layers.4.self_attn.o_proj.weight	attn_o	1.93097e-06	1.34272e-09	0.0844794	1.57646	0	1869	
OPT	model.layers.4.self_attn.q_proj.bias	attn_qkv	2.17762e-06	5.51989e-11	0.38897	2.16128	0	1869	
OPT	model.layers.4.self_attn.q_proj.weight	attn_qkv	1.25016e-06	5.48351e-11	0.312475	2.69423	0	1869	
OPT	model.layers.4.self_attn.v_proj.bias	attn_qkv	3.80705e-06	6.03767e-09	0.0689898	0.478098	0	1869	
OPT	model.layers.4.self_attn.v_proj.weight	attn_qkv	1.61944e-06	4.00278e-09	0.0445399	1.03804	0	1869	
OPT	model.layers.5.input_layernorm.weight	layer_norms	3.45298e-06	3.85245e-09	0.138413	1.07143	0	1869	
OPT	model.layers.5.mlp.down_proj.weight	mlp_down	7.15547e-07	2.78075e-10	0.0567285	5.83518	0	1869	
OPT	model.layers.5.mlp.gate_proj.weight	mlp_gate	3.21266e-07	1.1986e-10	0.040753	3.8546	0	1869	
OPT	model.layers.5.mlp.up_proj.weight	mlp_up	3.81304e-07	1.77613e-10	0.043698	3.96221	0	1869	
OPT	model.layers.5.post_attention_layernorm.weight	layer_norms	1.95498e-05	4.65323e-08	0.256762	1.4293	0	1869	
OPT	model.layers.5.self_attn.k_proj.bias	attn_qkv	7.73553e-07	1.56612e-11	0.232314	1.30447	0	1869	
OPT	model.layers.5.self_attn.k_proj.weight	attn_qkv	7.43861e-07	2.12869e-11	0.213902	1.9872	0	1869	
OPT	model.layers.5.self_attn.o_proj.weight	attn_o	1.86557e-06	1.02872e-09	0.0901336	1.46826	0	1869	
OPT	model.layers.5.self_attn.q_proj.bias	attn_qkv	7.91296e-07	1.20149e-11	0.246292	1.60751	0	1869	
OPT	model.layers.5.self_attn.q_proj.weight	attn_qkv	4.39694e-07	1.21014e-11	0.190829	2.8434	0	1869	
OPT	model.layers.5.self_attn.v_proj.bias	attn_qkv	3.31615e-06	4.66391e-09	0.0637121	0.362354	0	1869	
OPT	model.layers.5.self_attn.v_proj.weight	attn_qkv	1.39841e-06	3.28039e-09	0.040839	0.965397	0	1869	
OPT	model.layers.6.input_layernorm.weight	layer_norms	4.00889e-05	4.72769e-08	0.289489	1.6175	0	1869	
OPT	model.layers.6.mlp.down_proj.weight	mlp_down	8.05113e-07	3.4703e-10	0.0671282	4.38946	0	1869	
OPT	model.layers.6.mlp.gate_proj.weight	mlp_gate	3.78552e-07	1.40398e-10	0.0486617	5.15813	0	1869	
OPT	model.layers.6.mlp.up_proj.weight	mlp_up	4.39251e-07	2.01205e-10	0.0519125	4.55014	0	1869	
OPT	model.layers.6.post_attention_layernorm.weight	layer_norms	1.92745e-05	6.79928e-08	0.190143	0.898207	0	1869	
OPT	model.layers.6.self_attn.k_proj.bias	attn_qkv	6.59746e-06	1.89781e-09	0.185286	1.23608	0	1869	
OPT	model.layers.6.self_attn.k_proj.weight	attn_qkv	6.21878e-06	2.67272e-09	0.199869	2.07948	0	1869	
OPT	model.layers.6.self_attn.o_proj.weight	attn_o	1.53975e-06	7.93426e-10	0.078265	1.67506	0	1869	
OPT	model.layers.6.self_attn.q_proj.bias	attn_qkv	9.59742e-06	3.04156e-09	0.237544	1.89445	0	1869	
OPT	model.layers.6.self_attn.q_proj.weight	attn_qkv	4.81345e-06	3.12685e-09	0.203373	2.56782	0	1869	
OPT	model.layers.6.self_attn.v_proj.bias	attn_qkv	3.05981e-06	4.28759e-09	0.0585776	0.411253	0	1869	
OPT	model.layers.6.self_attn.v_proj.weight	attn_qkv	1.40364e-06	3.06054e-09	0.0405718	0.810871	0	1869	
OPT	model.layers.7.input_layernorm.weight	layer_norms	2.39653e-05	6.39103e-08	0.179678	1.1062	0	1869	
OPT	model.layers.7.mlp.down_proj.weight	mlp_down	9.77335e-07	5.24866e-10	0.0659371	5.01995	0	1869	
OPT	model.layers.7.mlp.gate_proj.weight	mlp_gate	5.18048e-07	2.01871e-10	0.0507251	4.3214	0	1869	
OPT	model.layers.7.mlp.up_proj.weight	mlp_up	6.64919e-07	3.82544e-10	0.056474	3.88605	0	1869	
OPT	model.layers.7.post_attention_layernorm.weight	layer_norms	4.72986e-05	1.59275e-07	0.258345	1.44618	0	1869	
OPT	model.layers.7.self_attn.k_proj.bias	attn_qkv	3.49893e-06	1.35613e-09	0.301692	1.31858	0	1869	
OPT	model.layers.7.self_attn.k_proj.weight	attn_qkv	3.26654e-06	2.12689e-09	0.284817	3.11058	0	1869	
OPT	model.layers.7.self_attn.o_proj.weight	attn_o	1.8967e-06	6.39855e-10	0.102189	1.7593	0	1869	
OPT	model.layers.7.self_attn.q_proj.bias	attn_qkv	3.76062e-06	1.92083e-09	0.278674	2.23447	0	1869	
OPT	model.layers.7.self_attn.q_proj.weight	attn_qkv	2.44951e-06	2.04196e-09	0.26032	3.33657	0	1869	
OPT	model.layers.7.self_attn.v_proj.bias	attn_qkv	5.73114e-06	3.6861e-09	0.106455	0.711457	0	1869	
OPT	model.layers.7.self_attn.v_proj.weight	attn_qkv	2.12699e-06	2.82164e-09	0.0600906	1.32893	0	1869	
OPT	model.layers.8.input_layernorm.weight	layer_norms	5.01329e-05	1.83803e-07	0.225168	1.00207	0	1869	
OPT	model.layers.8.mlp.down_proj.weight	mlp_down	1.37656e-06	6.07446e-10	0.0795703	6.21596	0	1869	
OPT	model.layers.8.mlp.gate_proj.weight	mlp_gate	6.89356e-07	2.42828e-10	0.0633381	4.8301	0	1869	
OPT	model.layers.8.mlp.up_proj.weight	mlp_up	9.52567e-07	4.59414e-10	0.0698146	4.80231	0	1869	
OPT	model.layers.8.post_attention_layernorm.weight	layer_norms	0.000102786	2.3477e-07	0.402389	2.4298	0	1869	
OPT	model.layers.8.self_attn.k_proj.bias	attn_qkv	8.64686e-06	3.71515e-09	0.218254	0.902022	0	1869	
OPT	model.layers.8.self_attn.k_proj.weight	attn_qkv	1.04944e-05	6.88235e-09	0.228739	2.24153	0	1869	
OPT	model.layers.8.self_attn.o_proj.weight	attn_o	2.88745e-06	6.61766e-10	0.141549	2.94542	0	1869	
OPT	model.layers.8.self_attn.q_proj.bias	attn_qkv	1.38022e-05	6.27651e-09	0.225791	1.15199	0	1869	
OPT	model.layers.8.self_attn.q_proj.weight	attn_qkv	7.01268e-06	7.86519e-09	0.199438	2.91605	0	1869	
OPT	model.layers.8.self_attn.v_proj.bias	attn_qkv	6.18536e-06	3.75634e-09	0.119394	0.535645	0	1869	
OPT	model.layers.8.self_attn.v_proj.weight	attn_qkv	2.4357e-06	3.17451e-09	0.0660148	1.23799	0	1869	
OPT	model.layers.9.input_layernorm.weight	layer_norms	2.81314e-05	3.08123e-08	0.362557	2.37814	0	1869	
OPT	model.layers.9.mlp.down_proj.weight	mlp_down	2.72058e-06	9.6008e-10	0.122269	6.40424	0	1869	
OPT	model.layers.9.mlp.gate_proj.weight	mlp_gate	1.36194e-06	3.97877e-10	0.101149	6.54092	0	1869	
OPT	model.layers.9.mlp.up_proj.weight	mlp_up	1.47295e-06	7.19334e-10	0.104924	6.59355	0	1869	
OPT	model.layers.9.post_attention_layernorm.weight	layer_norms	8.59839e-05	4.07808e-07	0.322325	2.21938	0	1869	
OPT	model.layers.9.self_attn.k_proj.bias	attn_qkv	5.32911e-06	5.3335e-10	0.282585	1.3455	0	1869	
OPT	model.layers.9.self_attn.k_proj.weight	attn_qkv	5.14342e-06	7.7586e-10	0.332285	2.59988	0	1869	
OPT	model.layers.9.self_attn.o_proj.weight	attn_o	2.14435e-06	4.88221e-10	0.122773	1.63389	0	1869	
OPT	model.layers.9.self_attn.q_proj.bias	attn_qkv	7.12773e-06	7.05476e-10	0.351456	1.75282	0	1869	
OPT	model.layers.9.self_attn.q_proj.weight	attn_qkv	3.59957e-06	7.39827e-10	0.311923	3.01391	0	1869	
OPT	model.layers.9.self_attn.v_proj.bias	attn_qkv	7.43051e-06	2.57607e-09	0.160824	0.710015	0	1869	
OPT	model.layers.9.self_attn.v_proj.weight	attn_qkv	2.64862e-06	2.11293e-09	0.0830558	1.42778	0	1869	
OPT	model.norm.weight	final_norm	0.000589512	3.23421e-05	0.304377	1.69658	0	1869	

# DEAD/LOW-CHANGE findings:
# completely unchanged (delta-max == 0): NONE
# low relative change < 1e-3: NONE

# FILE hashes:
FILE	earliest	e2250a7fe1b1d0ce3bb532c8050e8290783769a7dbee90a995c73889f9a0315c
FILE	latest	3ddc54d27b9ffff2443b41ce80bbf84e9ab10e7da778a42aa86efe996e87269a

# verdict: LEARNING CONFIRMED
